Size	   Bubble Sort	Selection Sort	Insertion Sort
50	47269.2	18153.04	35158.21
100	37487.81	13771.42	35973.547
150	67203.52	26513.846	47883.816
200	106898.05	41063.36	24668.605
250	160519.05	61279.215	36767.023
300	223257.88	83419.57	49482.887
350	282191.44	101234.82	60188.26
400	363999.75	129960.88	76239.72
450	455687.2	161138.78	95412.1
500	556540.9	194956.86	116121.68
550	670337.56	234631.34	139894.98
600	793360.56	276484.9	163323.2
650	925407.7	321375.03	190418.8
700	1065129.6	370969.53	222530.16
750	1223306.8	423497.44	252932.06
800	1385253.1	478531.53	285034.38
850	1557683.5	537640.5	321112.2
900	1743226.5	599819.25	357735.84
950	1875060.1	642938.1	384084.8
1000	2055849.0	705102.56	419078.16
